lat,lon,date
41.1452766,-8.610408,05/18/2014 10:27
41.1458776,-8.6148362,05/18/2014 11:12
41.1426424,-8.616917,05/18/2014 11:42
41.1403703,-8.6100678,05/18/2014 12:12
41.1405684,-8.6140277,05/18/2014 12:58
41.1372534,-8.6164138,05/18/2014 13:27
41.1422426,-8.6211775,05/18/2014 13:57
41.1372093,-8.6197198,05/18/2014 14:28
41.1369146,-8.6202187,05/18/2014 14:57
41.1435548,-8.613069,05/18/2014 15:13
41.1400816,-8.6152177,05/18/2014 15:42
41.1416982,-8.6064163,05/18/2014 15:57
41.1373274,-8.6163514,05/18/2014 16:12
41.144387,-8.6118955,05/18/2014 16:58
41.1451646,-8.6108553,05/18/2014 17:12
41.1448505,-8.6105405,05/18/2014 17:42
41.1452173,-8.6105157,05/18/2014 17:55
41.1520349,-8.6100353,05/18/2014 18:10
41.1615277,-8.6308978,05/18/2014 18:40
41.237025,-8.6656845,05/18/2014 18:55
41.2364461,-8.6711649,05/18/2014 19:25
41.2372053,-8.6721733,05/18/2014 19:55
41.2358797,-8.6716752,05/18/2014 20:10
41.3039111,2.1059314,05/18/2014 22:35
41.2927229,2.0755827,05/18/2014 22:49
41.289946,2.0645899,05/18/2014 23:04
41.2941432,2.0731769,05/18/2014 23:20
41.3201247,2.090935,05/18/2014 23:34
41.3771195,2.1516324,05/19/2014 00:04
41.3771385,2.1510933,05/19/2014 01:34
41.3770661,2.1512022,05/19/2014 02:03
41.3770723,2.1512061,05/19/2014 02:48
41.3770438,2.1512276,05/19/2014 05:48
41.3770794,2.1512247,05/19/2014 06:03
41.3779885,2.152919,05/19/2014 08:33
41.3760035,2.1491465,05/19/2014 09:48
41.3662181,2.1537009,05/19/2014 10:33
41.3721418,2.1509384,05/19/2014 10:48
41.3786831,2.152787,05/19/2014 11:03
41.3771314,2.1511083,05/19/2014 11:18
41.3771701,2.1507965,05/19/2014 11:48
41.3771623,2.1510834,05/19/2014 12:48
41.3770884,2.1507629,05/19/2014 14:33
41.3770935,2.1507655,05/19/2014 14:48
41.3770975,2.1511463,05/19/2014 16:18
41.3805504,2.1538854,05/19/2014 17:03
41.3806322,2.152509,05/19/2014 17:18
41.3771433,2.1510132,05/19/2014 17:48
41.3770732,2.1514639,05/19/2014 18:03
41.3809076,2.154365,05/19/2014 18:33
41.3883249,2.1596929,05/19/2014 18:48
41.3804476,2.1739578,05/19/2014 19:03
41.3846963,2.1867123,05/19/2014 19:18
41.3813242,2.1727949,05/19/2014 19:33
41.3786362,2.1757599,05/19/2014 19:48
41.3786351,2.1757965,05/19/2014 21:18
41.3814296,2.1802422,05/19/2014 21:33
41.3814159,2.1802462,05/19/2014 21:48
41.3893829,2.1708651,05/19/2014 22:03
41.3770763,2.1512071,05/19/2014 22:18
41.3770911,2.1511755,05/20/2014 03:18
41.3770723,2.1511749,05/20/2014 05:48
41.3770897,2.1512032,05/20/2014 06:03
41.3770797,2.1511882,05/20/2014 07:48
41.3771148,2.1507485,05/20/2014 08:03
41.3771225,2.1507589,05/20/2014 08:18
41.3770799,2.1507574,05/20/2014 08:48
41.3771047,2.1507393,05/20/2014 09:18
41.3770928,2.1507845,05/20/2014 09:33
41.3770749,2.1507436,05/20/2014 10:03
41.3771613,2.150862,05/20/2014 10:33
41.3797817,2.1579662,05/20/2014 10:48
41.3801641,2.1559188,05/20/2014 11:03
41.3771119,2.1510608,05/20/2014 11:18
41.3758486,2.1493109,05/20/2014 11:33
41.3880427,2.1114748,05/20/2014 12:03
41.3887061,2.1124853,05/20/2014 12:18
41.3894133,2.1132551,05/20/2014 14:33
41.3870807,2.1122173,05/20/2014 14:48
41.3870767,2.1122316,05/20/2014 15:03
41.3893617,2.1155753,05/20/2014 15:44
41.3856393,2.1128883,05/20/2014 15:57
41.3790408,2.142772,05/20/2014 16:14
41.3752883,2.1500491,05/20/2014 16:28
41.3754151,2.150232,05/20/2014 16:32
41.3770715,2.1513833,05/20/2014 16:46
41.377098,2.1512086,05/20/2014 17:47
41.3804297,2.1472661,05/20/2014 18:01
41.3811476,2.1457452,05/20/2014 18:16
41.3813223,2.1531112,05/20/2014 18:32
41.3801372,2.1521937,05/20/2014 18:46
41.3770895,2.1509105,05/20/2014 19:02
41.377088,2.1507327,05/20/2014 20:46
41.3771022,2.1507197,05/20/2014 21:02
41.3770837,2.1507237,05/20/2014 22:01
41.3770997,2.150746,05/20/2014 23:32
41.3771288,2.1511797,05/21/2014 03:02
41.3770761,2.1512058,05/21/2014 11:02
41.3761683,2.1505352,05/21/2014 11:32
41.3877239,2.1821679,05/21/2014 11:47
41.3861742,2.178146,05/21/2014 12:01
41.3835227,2.1818196,05/21/2014 13:46
41.3826482,2.1830837,05/21/2014 14:17
41.3860045,2.1830188,05/21/2014 14:31
41.3894837,2.1881876,05/21/2014 14:46
41.3892687,2.1835529,05/21/2014 15:01
41.3871622,2.1700956,05/21/2014 15:41
41.3839198,2.1609378,05/21/2014 15:55
41.3772001,2.1509524,05/21/2014 16:10
41.3751794,2.1496514,05/21/2014 16:40
41.3751794,2.1496514,05/21/2014 16:55
41.3784244,2.1559161,05/21/2014 17:10
41.3770722,2.1516574,05/21/2014 17:25
41.377161,2.1511567,05/21/2014 17:53
41.3770767,2.1512219,05/21/2014 18:07
41.3796558,2.1746671,05/21/2014 18:52
41.3857346,2.1763771,05/21/2014 19:07
41.3864853,2.1754263,05/21/2014 19:22
41.386691,2.1751994,05/21/2014 22:22
41.3832366,2.1599276,05/21/2014 23:07
41.3770592,2.1511997,05/21/2014 23:22
41.3770965,2.1512288,05/22/2014 03:52
41.3804992,2.1539174,05/22/2014 07:37
41.3799226,2.1524709,05/22/2014 07:52
41.377072,2.1512284,05/22/2014 08:07
41.377075,2.1512259,05/22/2014 08:37
41.3714486,2.1422407,05/22/2014 11:22
41.3826705,2.1634567,05/22/2014 11:52
41.3826833,2.1634472,05/22/2014 12:07
41.3826926,2.1633617,05/22/2014 12:22
41.3826618,2.1634368,05/22/2014 12:37
41.3826456,2.1634468,05/22/2014 12:52
41.3826657,2.1634832,05/22/2014 13:07
41.3826699,2.1634701,05/22/2014 13:22
41.3826673,2.163451,05/22/2014 13:37
41.3825772,2.1644284,05/22/2014 13:52
41.3779089,2.1703524,05/22/2014 15:07
41.375782,2.168334,05/22/2014 15:37
41.3751433,2.1559962,05/22/2014 15:52
41.377091,2.1511839,05/22/2014 16:07
41.377083,2.1512259,05/22/2014 16:52
41.377071,2.1512066,05/22/2014 17:07
41.3770696,2.1512116,05/22/2014 18:37
41.3770882,2.1511935,05/23/2014 03:07
41.3770841,2.1511981,05/23/2014 03:37
41.3770878,2.1511811,05/23/2014 05:07
41.3770934,2.1511873,05/23/2014 06:22
41.377069,2.1511985,05/23/2014 06:37
41.3771109,2.1507641,05/23/2014 08:22
41.3771011,2.1507651,05/23/2014 08:37
41.3771088,2.1507453,05/23/2014 08:52
41.3770901,2.1511801,05/23/2014 10:44
41.377101,2.151001,05/23/2014 10:58
41.3832116,2.1599064,05/23/2014 11:13
41.3898505,2.168136,05/23/2014 11:28
41.3916386,2.1649189,05/23/2014 11:43
41.391525,2.1647144,05/23/2014 12:14
41.391535,2.1647768,05/23/2014 12:28
41.3918367,2.1650102,05/23/2014 12:43
41.3887823,2.1666498,05/23/2014 12:58
41.3920343,2.1615202,05/23/2014 14:43
41.394984,2.1579856,05/23/2014 15:13
41.3911957,2.1566475,05/23/2014 15:43
41.3913106,2.1530533,05/23/2014 15:58
41.3925822,2.1491597,05/23/2014 16:13
41.3809262,2.1371983,05/23/2014 16:28
41.3760052,2.1501197,05/23/2014 16:43
41.3770958,2.1511973,05/23/2014 16:58
41.377128,2.1508054,05/23/2014 17:13
41.3771198,2.1508764,05/23/2014 17:24
41.3770812,2.1512316,05/23/2014 17:38
41.3770451,2.151607,05/23/2014 18:38
41.3762033,2.1500443,05/23/2014 19:08
41.3770627,2.1512179,05/23/2014 19:38
41.377112,2.1509763,05/23/2014 22:52
41.3759403,2.153035,05/23/2014 23:08
41.3749666,2.1695981,05/23/2014 23:23
41.3744729,2.1695484,05/24/2014 01:37
41.3770904,2.151214,05/24/2014 03:08
41.3771161,2.1511545,05/24/2014 12:38
